CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9
0.109,38.449,56.201,34.496,7.228,31.801,36.260,32.190,28.605
0.130,38.277,55.275,34.674,7.263,32.127,35.863,32.159,28.672
0.058,38.170,55.196,35.016,7.274,31.932,36.132,31.809,28.559
0.218,38.405,55.959,34.726,7.320,31.694,36.256,32.167,28.954
0.096,38.461,55.723,35.568,7.309,31.788,36.132,32.069,28.707
0.062,38.418,55.642,34.516,7.246,31.898,36.096,32.457,28.365
0.095,38.843,56.215,34.957,7.306,31.699,36.186,32.099,28.900
0.131,38.364,55.784,34.196,7.273,32.120,36.133,32.112,28.485
0.173,38.517,55.845,35.068,7.221,31.252,36.453,32.003,28.077
0.183,37.971,56.136,34.812,7.023,31.708,36.511,32.660,28.440
0.082,38.570,56.020,34.623,7.239,32.033,36.090,32.228,28.856
0.013,38.214,55.731,34.447,7.215,31.936,35.785,32.047,28.632
0.142,38.621,56.104,34.649,7.360,31.806,36.086,32.093,28.825
0.091,38.131,55.685,34.856,7.198,31.758,36.241,32.086,28.621
0.169,38.996,56.240,34.721,7.175,31.693,36.115,32.261,28.693
0.126,38.017,55.241,34.662,7.094,31.502,36.261,32.305,28.747
0.163,38.938,55.856,35.099,7.274,31.669,35.962,31.832,28.615
0.212,38.301,56.306,34.435,7.142,31.433,36.632,32.185,28.929
0.167,38.498,55.904,34.621,7.217,31.440,36.727,31.652,28.782
0.190,38.413,55.927,34.328,7.408,31.450,36.233,32.053,29.025
0.092,38.799,55.691,35.095,7.368,31.947,36.143,32.188,29.042
0.174,38.334,55.522,34.957,7.241,31.447,36.033,32.027,28.450
0.119,38.640,55.431,34.594,7.221,31.646,36.267,32.087,29.293
0.180,38.493,56.079,35.130,7.110,31.957,35.882,32.064,28.502
0.105,38.092,55.541,34.601,7.314,32.173,36.299,32.144,28.346
0.144,38.726,55.399,34.751,7.277,31.812,36.314,31.873,28.852
0.043,38.660,55.829,34.496,7.132,31.345,36.057,32.129,28.845
0.203,38.914,56.168,33.922,7.078,31.857,36.041,31.820,28.909
0.179,38.451,56.075,34.741,7.341,31.725,36.421,32.431,28.591
0.102,38.420,55.978,34.538,7.284,31.431,36.297,32.068,28.561
0.111,37.999,55.425,34.503,7.269,31.682,36.455,32.332,28.656
0.151,38.583,55.366,34.432,7.303,31.575,35.999,31.970,28.764
0.124,38.059,55.300,34.822,7.293,31.963,36.229,32.029,28.753
0.080,39.120,56.011,34.678,7.322,32.207,36.144,32.208,28.529
0.066,38.923,55.895,34.795,7.166,31.694,36.502,32.059,28.586
0.090,38.401,56.174,35.063,7.214,31.725,35.958,32.455,28.835
0.083,38.124,56.082,34.531,7.300,31.499,36.369,32.199,28.730
0.131,38.104,55.866,34.558,7.240,31.650,36.335,32.057,28.795
0.131,38.478,55.793,34.337,7.418,31.657,36.214,32.410,28.814
0.169,38.415,55.850,34.291,7.262,31.880,36.382,31.862,28.939
0.112,38.414,55.659,34.648,7.371,32.101,36.117,32.397,28.907
0.123,38.385,56.063,34.749,7.386,31.619,35.739,31.715,28.326
0.177,38.556,55.978,35.211,7.214,31.927,36.443,31.462,28.376
0.093,38.110,55.450,34.593,7.130,31.691,36.404,31.966,28.876
0.125,38.504,56.106,34.736,7.280,31.917,36.139,32.415,28.580
0.202,38.399,56.024,34.622,7.210,31.770,35.902,32.216,29.220
0.216,38.518,55.483,34.482,7.190,31.369,35.842,32.147,28.698
0.085,38.241,56.249,34.895,7.242,31.520,35.940,32.070,28.261
0.157,38.650,55.807,34.885,7.399,32.350,36.678,32.108,29.126
0.111,38.523,55.880,35.161,7.094,31.844,36.356,32.864,28.910
0.045,38.883,55.743,34.498,7.280,32.209,36.350,32.351,28.992
0.207,38.799,55.859,34.568,7.494,31.926,36.178,31.960,28.882
