CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9
0.087,42.254,59.003,36.209,7.762,34.902,38.676,35.774,31.362
0.062,42.180,58.584,36.166,7.647,35.864,38.567,36.088,31.361
0.045,42.446,58.504,36.462,7.735,35.729,38.424,36.674,31.183
0.121,41.817,58.961,36.408,7.737,35.723,38.768,35.743,31.677
0.100,42.086,59.219,36.604,7.606,35.426,38.924,36.404,31.799
0.129,42.143,59.719,36.587,7.794,35.465,38.193,35.864,31.527
0.084,42.138,59.134,36.228,7.720,35.015,38.356,35.729,31.427
0.122,41.658,59.570,36.609,7.716,35.638,38.610,36.155,31.865
0.090,42.302,59.622,36.525,7.519,35.705,38.594,35.722,31.225
0.019,42.145,58.993,36.511,7.809,35.376,38.568,35.912,31.431
0.056,42.159,58.893,36.334,7.824,35.993,38.584,35.922,31.838
0.086,42.317,58.780,36.577,7.573,35.364,38.613,35.837,31.711
0.102,41.859,59.090,36.182,7.638,35.395,38.795,36.328,32.062
0.133,42.213,59.096,36.609,7.790,35.728,39.072,36.179,31.003
0.011,42.344,58.924,36.378,7.751,35.791,38.685,35.986,31.887
0.081,41.881,58.781,36.311,7.629,35.376,38.348,36.294,31.964
0.101,41.965,59.158,36.465,7.762,35.752,38.088,35.883,31.830
0.032,42.257,58.953,36.220,7.758,35.240,38.438,36.019,31.441
0.050,41.913,59.370,36.465,7.541,35.417,38.587,36.432,31.672
0.145,42.125,59.259,36.179,7.814,35.181,38.184,36.239,31.672
0.083,42.470,58.684,36.874,7.759,35.693,38.266,35.961,31.206
0.046,41.704,59.065,36.059,7.849,35.405,37.977,36.246,31.212
0.110,42.728,58.746,36.213,7.768,35.270,38.480,35.786,31.714
0.184,42.025,59.283,36.490,7.704,35.221,38.658,35.918,31.213
0.019,42.736,59.065,36.195,7.730,35.771,38.560,35.932,31.222
0.156,42.212,58.944,37.063,7.739,35.083,38.840,35.797,31.881
0.087,41.848,59.048,36.683,7.818,35.221,38.252,35.701,31.821
0.111,42.039,59.371,36.840,7.856,35.184,38.532,35.833,31.789
0.091,41.880,59.448,36.523,7.685,35.563,38.745,36.110,32.015
0.087,42.364,58.663,36.389,8.011,35.583,38.560,36.370,31.605
0.095,42.295,59.263,35.751,7.745,35.455,38.342,36.021,31.465
0.126,42.331,58.279,36.193,7.947,35.687,38.108,35.943,31.804
0.073,41.979,58.844,36.744,7.626,35.587,38.408,35.906,31.462
0.187,42.112,59.194,36.597,7.790,35.029,38.402,36.020,31.686
0.013,41.629,59.374,36.562,7.682,35.399,38.225,35.883,31.271
0.079,41.808,59.384,36.492,7.727,35.709,38.713,36.112,31.625
0.060,42.233,58.749,36.067,7.650,35.445,38.521,36.120,31.732
0.076,42.168,59.008,36.596,7.970,34.888,38.046,36.144,31.667
0.024,42.443,59.053,36.440,7.754,35.683,38.802,36.155,31.659
0.110,42.361,59.447,36.185,7.661,35.370,38.932,36.229,31.186
0.183,42.892,58.945,36.519,7.648,35.225,38.559,36.172,31.614
0.099,42.488,58.477,36.627,7.579,35.572,39.014,36.154,31.687
0.020,41.913,59.920,36.427,7.398,35.487,38.291,36.399,31.865
0.146,42.370,59.037,36.281,7.841,35.991,38.673,35.923,31.963
0.060,42.607,59.223,36.345,8.040,35.259,38.284,36.273,31.963
0.103,42.358,58.421,36.487,7.973,35.783,38.147,36.156,31.376
0.021,42.166,59.430,36.190,7.716,35.510,38.478,36.204,31.660
0.088,42.091,59.307,35.897,7.702,35.621,38.321,36.354,31.491
0.096,41.587,59.275,36.629,7.799,36.064,38.559,36.187,31.731
0.097,42.379,59.163,36.447,7.706,35.519,38.501,36.252,31.777
0.105,42.079,58.988,36.096,7.851,35.156,38.576,35.988,31.623
0.134,41.740,58.716,36.603,7.555,35.548,38.676,35.695,31.693
0.051,41.899,58.890,37.068,7.653,35.242,38.183,35.895,31.590
0.090,41.843,59.225,36.237,7.648,36.306,38.233,35.999,31.780
0.140,42.341,58.969,36.898,7.898,35.440,38.566,35.699,31.735
0.000,42.063,58.977,36.483,7.605,35.544,38.345,36.118,31.862
0.051,42.293,59.017,36.728,7.894,35.366,38.528,35.896,31.710
0.050,41.855,58.746,36.244,7.588,35.856,38.630,36.063,31.411
0.085,42.833,58.748,36.602,7.778,35.420,38.343,36.224,31.526
0.077,42.081,59.159,36.880,7.797,35.209,38.856,36.148,31.555
0.126,42.474,58.849,36.342,7.771,35.319,38.385,35.318,31.571
0.036,41.845,59.482,36.371,7.701,35.872,38.575,35.844,31.280
0.128,42.370,59.673,36.107,7.700,35.855,38.334,36.052,31.994
0.086,41.639,59.354,36.748,7.777,35.361,38.331,36.190,31.377
0.038,42.173,59.057,36.824,7.685,35.316,39.254,35.939,31.409
0.153,42.704,59.234,36.778,8.047,35.313,38.487,35.944,31.557
0.081,41.949,59.477,36.493,7.927,36.016,38.294,36.453,31.784
0.063,41.946,58.827,36.238,7.885,35.938,38.456,36.191,31.828
0.075,42.301,58.977,36.192,7.612,35.414,38.720,35.811,31.664
0.115,42.167,59.546,36.533,7.704,35.587,38.491,36.488,31.537
0.109,42.286,58.835,36.425,7.614,35.122,38.506,35.927,31.191
0.028,42.442,58.993,36.366,7.660,35.955,38.636,35.601,31.861
0.090,41.923,58.684,36.698,7.790,35.816,38.205,35.766,31.159
0.148,41.966,59.461,35.977,7.816,35.401,38.661,36.472,32.179
0.030,42.164,59.279,36.790,7.758,35.768,38.576,36.102,32.223
0.169,41.848,58.647,36.405,7.723,35.610,38.004,35.733,31.646
0.072,42.637,59.371,36.390,7.767,35.509,38.260,36.776,31.376
0.059,42.057,58.484,36.295,7.901,35.691,38.458,35.796,31.426
0.105,42.121,58.796,36.831,7.571,35.240,38.169,36.189,31.480
0.088,42.433,59.323,35.882,7.777,35.790,38.482,35.960,31.635
0.070,41.882,58.616,36.519,7.586,35.469,38.343,36.102,31.678
0.190,42.274,59.456,36.581,7.742,35.553,38.321,36.148,31.776
0.071,41.946,58.270,35.868,7.728,35.515,38.405,36.211,31.833
