CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9
0.307,45.149,59.877,39.449,10.380,40.089,41.511,39.412,33.048
0.274,45.330,59.757,39.208,10.589,39.889,41.202,39.321,32.863
0.242,44.800,60.465,39.979,10.443,39.951,41.489,39.559,33.146
0.373,44.668,60.447,39.737,10.224,40.098,41.517,39.829,32.882
0.301,45.019,60.474,38.477,10.349,40.124,41.624,39.601,33.141
0.245,44.780,60.252,40.291,10.581,40.005,41.480,39.445,32.722
0.314,44.958,60.123,39.511,10.380,39.773,40.841,39.525,32.879
0.298,45.319,60.623,39.912,10.482,39.766,41.144,39.863,33.056
0.338,44.679,60.725,39.825,10.231,40.297,41.612,39.137,32.820
0.244,44.489,60.812,39.563,10.321,40.337,41.125,39.439,32.732
0.346,45.085,60.435,39.756,10.383,39.841,41.545,39.199,32.816
0.320,45.466,59.467,38.882,10.257,39.731,41.035,39.470,32.799
0.321,45.277,60.815,39.391,10.345,39.626,41.671,39.528,32.931
0.326,45.414,59.948,39.638,10.427,39.968,41.150,39.599,33.092
0.299,45.315,60.214,39.504,10.364,39.548,41.243,39.495,32.906
0.269,45.155,60.353,39.741,10.258,40.486,41.533,39.796,33.176
0.303,44.673,60.743,39.496,10.442,40.355,40.973,39.658,33.335
0.345,44.836,60.556,39.822,10.429,39.853,41.613,39.624,32.887
0.308,44.316,60.376,39.495,10.481,39.452,41.420,39.675,33.102
0.329,45.313,60.264,39.660,10.071,39.295,41.311,39.436,32.729
0.284,45.382,60.616,39.421,10.520,39.633,41.223,39.701,33.196
0.235,44.881,59.755,39.699,10.147,40.195,41.905,39.330,32.555
0.334,45.192,60.398,39.283,10.306,40.015,41.583,40.266,33.183
0.334,45.097,60.372,39.411,10.495,39.722,41.671,39.405,32.656
0.234,45.129,60.099,39.378,10.424,40.588,41.205,39.505,33.019
0.183,44.783,59.860,39.489,10.343,39.957,41.428,39.208,33.125
0.264,44.856,60.150,39.624,10.280,39.725,41.355,39.471,32.720
0.298,45.252,60.704,39.479,10.359,40.166,41.602,39.400,32.896
0.383,45.495,60.622,39.517,10.299,40.134,41.473,39.569,33.045
0.298,45.269,60.378,39.326,10.494,39.655,41.898,39.659,32.963
0.306,45.332,60.288,39.628,10.352,39.947,41.008,39.353,33.323
0.339,45.667,60.134,39.916,10.297,40.209,41.607,39.582,32.806
0.385,44.955,60.213,39.618,10.509,40.110,41.298,39.247,32.843
0.218,45.469,60.697,39.396,10.471,40.054,40.984,39.641,32.925
0.278,44.867,60.626,39.716,10.389,39.836,41.143,39.333,33.160
0.223,45.113,60.234,39.960,10.169,40.065,41.330,39.984,33.042
0.359,45.440,59.892,39.558,9.975,39.790,41.618,39.398,33.066
0.389,44.637,60.486,39.968,10.327,40.051,41.389,38.986,33.183
0.303,45.191,60.383,39.371,10.298,39.471,41.037,39.020,33.105
0.285,45.210,60.255,39.455,10.378,39.541,41.647,39.603,32.692
0.290,45.793,60.260,39.667,10.396,40.241,41.332,39.470,32.852
0.291,44.921,60.737,39.817,10.078,39.993,41.258,39.495,32.864
0.304,44.598,60.703,39.444,10.333,40.004,41.742,39.352,32.914
0.272,45.066,60.149,39.641,10.254,39.709,41.031,39.400,33.036
0.360,44.801,60.056,39.840,10.463,39.747,41.496,39.455,32.849
0.306,44.805,60.433,39.720,10.251,39.644,41.263,39.372,33.084
0.205,44.799,60.317,39.465,10.279,39.833,41.486,39.923,32.978
0.281,44.742,60.471,39.514,10.314,40.168,40.978,39.442,32.838
0.308,45.299,60.376,39.525,10.253,40.342,40.811,39.694,33.281
0.335,44.784,60.084,39.822,10.045,40.055,41.696,39.736,32.842
0.282,44.998,60.649,39.439,10.122,39.789,41.116,39.657,33.264
0.314,44.818,60.334,39.800,10.400,40.091,41.211,39.376,33.064
0.310,45.017,60.215,39.473,10.279,39.995,41.434,39.682,32.883
0.323,45.951,60.691,39.743,10.273,39.618,41.338,40.080,32.943
0.285,45.011,59.912,39.773,10.147,39.916,41.392,39.447,33.076
0.228,45.143,60.057,39.382,10.226,39.990,41.024,39.687,32.993
0.322,44.619,60.741,39.599,10.094,40.036,41.725,39.403,33.036
0.246,44.763,60.206,39.658,10.350,40.272,41.312,39.192,32.892
0.411,44.754,59.593,39.678,10.293,39.937,41.143,39.467,32.913
0.244,44.961,60.039,39.228,10.196,40.008,42.044,39.622,32.544
0.264,44.614,59.570,39.518,10.610,40.035,41.055,39.400,32.547
0.309,44.623,59.900,39.804,10.528,39.786,41.607,39.638,33.340
0.261,44.754,60.367,39.638,10.289,39.766,41.189,39.878,33.222
0.294,45.043,60.346,39.477,10.196,39.880,40.733,39.483,33.118
0.314,45.170,60.266,39.138,10.174,39.940,41.178,39.485,33.040
0.349,45.299,60.410,39.537,10.423,39.941,41.737,39.155,32.972
0.304,45.755,60.355,39.488,10.510,40.091,41.242,39.470,33.308
0.375,45.099,60.337,39.574,10.430,39.535,41.537,39.634,33.225
0.269,45.523,60.313,39.692,10.373,39.439,41.464,39.680,32.819
0.256,45.366,60.570,39.402,10.460,39.932,41.181,39.454,32.878
0.253,45.144,60.670,39.826,10.321,39.842,41.491,39.935,32.818
0.310,45.040,60.428,38.940,10.236,39.757,41.322,39.657,32.786
0.229,44.658,60.488,39.486,10.343,39.942,41.587,39.759,33.018
0.343,45.203,60.068,40.176,10.447,39.824,41.396,39.669,33.650
0.268,45.516,59.623,39.661,10.390,40.166,41.241,39.620,32.428
0.360,45.335,59.565,39.289,10.346,39.782,41.258,39.816,32.930
0.317,44.987,59.978,40.075,10.462,39.925,41.396,40.190,32.822
0.299,45.375,59.637,39.960,10.293,39.390,41.299,39.640,32.858
0.194,45.394,60.358,39.720,10.348,40.055,41.081,39.384,32.902
0.352,44.620,60.534,39.947,10.256,39.767,41.302,39.134,32.971
0.381,45.041,60.534,39.672,10.551,39.931,41.721,39.937,32.824
0.371,45.217,60.238,39.565,10.341,40.212,41.568,39.689,32.595
0.282,44.789,60.171,39.587,10.254,40.328,41.577,39.638,32.920
0.364,45.014,59.864,39.451,10.495,40.002,41.231,39.212,32.830
0.268,45.171,60.332,39.620,10.360,39.844,41.705,39.520,33.381
0.285,45.373,60.652,39.126,10.406,40.076,41.275,40.191,32.957
0.254,45.026,60.436,39.854,10.575,39.888,41.103,39.829,33.326
0.280,45.278,60.431,40.195,10.400,40.312,40.720,39.232,32.766
0.310,45.340,60.412,39.781,10.538,39.901,41.283,39.408,33.005
0.125,44.862,60.641,39.236,10.106,39.869,41.471,39.739,32.622
0.277,44.994,60.335,40.159,10.276,39.814,41.682,39.239,32.922
0.322,45.067,60.300,39.893,10.216,39.963,41.202,39.686,33.166
0.231,45.353,60.636,39.636,10.470,39.943,41.617,39.394,33.295
0.282,45.080,60.276,40.308,10.635,39.492,41.796,39.488,32.958
0.399,45.182,60.614,39.803,10.586,39.790,41.318,39.300,33.261
0.247,45.160,60.669,39.402,10.462,39.996,41.029,39.293,33.034
0.365,45.288,60.593,40.081,10.216,40.241,41.400,39.239,32.980
0.266,44.724,60.702,40.131,10.374,40.289,41.227,39.670,32.712
0.332,45.442,60.052,39.010,10.249,39.637,41.132,39.551,33.000
0.257,45.375,60.233,39.655,10.697,40.352,41.540,39.893,33.218
0.304,44.874,60.592,39.477,10.303,39.914,41.488,39.966,33.328
0.364,45.076,60.040,39.319,10.407,39.195,41.169,39.248,32.946
0.237,45.098,60.592,40.016,10.347,40.215,41.645,39.719,33.004
0.358,44.936,60.530,39.524,10.364,39.909,41.723,39.602,33.086
0.335,44.935,60.863,39.794,10.615,39.868,41.067,39.326,32.658
0.260,44.680,60.427,39.598,10.499,39.630,41.653,39.483,33.333
0.280,45.183,60.044,39.063,10.326,39.901,41.354,39.672,33.186
0.288,44.811,60.368,39.362,10.530,39.925,41.576,39.459,33.126
0.364,44.678,60.863,39.479,10.480,39.389,41.216,39.747,32.867
0.307,45.447,60.210,39.247,10.416,40.089,40.787,40.273,32.640
0.303,45.163,60.572,39.756,10.242,39.908,41.402,39.409,32.670
0.302,45.112,60.315,39.182,10.299,40.027,41.277,39.121,33.640
0.233,44.649,60.701,39.102,10.554,40.162,41.388,39.846,33.167
0.263,44.895,60.238,39.393,10.409,39.931,41.450,39.761,32.768
0.252,45.279,60.499,40.066,10.106,40.165,41.295,39.509,32.710
0.259,44.966,60.421,38.889,10.443,39.873,41.187,39.249,33.472
0.333,44.501,60.930,39.507,10.260,39.859,41.086,39.666,33.290
0.277,45.429,61.158,39.642,10.004,40.052,41.229,39.512,32.713
0.204,44.889,60.404,39.144,10.376,40.214,41.801,39.732,33.218
0.312,45.104,59.599,39.565,10.173,40.070,41.566,40.041,32.585
0.276,44.525,60.058,39.953,10.355,40.243,41.488,39.849,32.756
0.365,45.141,60.539,39.410,10.512,40.086,41.448,39.883,33.485
