CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9
0.469,72.284,93.957,70.270,35.620,75.749,79.715,79.511,73.365
0.355,72.433,93.743,70.794,35.338,75.130,79.555,79.952,73.997
0.387,72.008,93.856,70.632,35.473,75.444,80.036,79.315,73.221
0.437,71.903,93.201,70.710,35.171,74.754,79.629,79.165,73.705
0.407,71.947,94.383,70.179,35.251,75.607,80.519,79.201,73.471
0.414,71.989,93.928,70.708,35.776,75.214,79.037,79.585,73.499
0.346,71.555,93.532,70.807,35.140,75.065,79.864,79.471,73.223
0.412,72.297,93.534,70.460,35.365,75.403,79.779,78.621,73.291
0.403,72.353,94.514,70.431,34.933,75.056,79.465,79.340,73.381
0.423,71.913,93.803,70.113,35.580,74.992,80.045,79.192,72.959
0.371,71.637,93.814,69.994,34.878,75.697,79.591,79.525,73.100
0.433,71.531,93.514,70.757,34.884,75.624,79.727,79.423,73.278
0.335,71.929,93.918,70.635,34.978,75.116,79.468,79.009,73.823
0.417,72.116,94.275,70.459,35.143,75.286,80.289,79.189,73.609
0.417,72.036,93.942,70.102,35.167,76.072,80.088,79.308,73.116
0.467,72.076,94.200,70.245,35.040,75.172,79.650,79.524,73.521
0.399,72.371,93.500,71.177,35.370,75.641,79.820,79.124,73.137
0.510,72.113,93.697,70.497,35.064,75.485,79.357,80.119,73.104
0.465,71.607,93.994,70.487,35.575,75.541,79.908,79.744,73.162
0.496,72.395,93.666,70.729,35.517,75.574,80.085,79.308,73.922
0.401,71.806,93.801,71.071,35.421,75.319,79.510,79.423,73.409
0.382,72.190,93.789,70.730,35.007,75.119,79.339,79.940,73.590
0.308,72.366,93.377,70.870,34.885,74.717,80.111,79.556,72.937
0.417,72.448,92.547,70.636,34.845,75.698,79.850,79.092,73.651
0.436,72.531,94.221,70.433,35.264,74.789,79.472,79.726,73.930
0.434,72.143,93.893,70.371,34.701,74.944,80.026,79.324,73.108
0.472,71.873,93.124,70.675,34.972,75.989,79.811,78.630,73.913
0.402,72.310,93.944,70.966,34.979,75.427,80.359,80.297,73.278
0.377,71.409,93.242,70.433,35.264,75.972,80.043,79.602,73.495
0.232,72.345,94.139,70.277,35.473,75.463,79.679,79.429,73.492
0.475,72.924,94.088,70.964,34.561,75.727,79.579,79.691,73.706
0.501,72.528,93.781,70.152,35.174,74.804,79.681,79.010,73.783
0.400,71.916,94.163,70.978,35.400,75.806,79.217,79.569,73.317
0.376,72.114,92.908,70.824,35.706,74.610,79.324,80.074,73.851
0.396,72.286,94.251,71.098,35.104,75.323,79.288,79.525,72.882
0.447,72.266,94.121,70.518,35.539,74.875,79.650,79.632,72.676
0.467,72.213,93.622,70.676,35.249,75.514,79.493,78.752,73.517
0.330,71.849,93.162,70.907,35.260,74.950,80.128,79.684,73.393
0.471,72.314,93.855,70.809,35.495,75.322,80.466,78.854,72.860
0.458,72.306,93.885,70.356,35.476,75.525,80.546,79.079,73.081
0.388,71.996,93.518,70.550,34.997,76.149,79.765,78.903,73.738
0.416,71.764,93.357,70.335,35.414,75.520,79.893,79.249,73.441
0.381,72.007,94.421,71.257,35.327,75.469,80.351,79.858,73.668
0.344,72.641,93.261,70.537,34.888,75.013,80.121,79.511,73.649
0.403,72.857,93.338,70.203,35.144,74.856,79.910,78.890,73.033
0.423,71.691,93.028,70.278,35.207,75.690,79.379,79.531,73.549
0.355,72.075,93.601,70.451,35.162,76.451,79.144,79.752,73.494
0.329,72.396,93.490,69.734,34.949,75.976,80.208,79.509,73.198
0.372,72.034,93.615,71.063,34.841,75.841,80.185,79.746,72.919
0.403,72.941,93.519,70.213,34.837,75.186,79.275,79.286,72.990
0.401,72.261,94.192,70.771,34.793,75.077,79.111,79.683,73.523
0.463,72.385,93.245,70.298,34.959,75.189,79.545,80.491,73.032
0.409,72.446,93.750,70.737,34.771,74.933,79.809,79.428,72.959
0.454,72.385,93.727,70.283,35.177,75.469,79.631,79.849,73.057
0.412,71.873,93.567,70.656,35.412,75.163,79.752,79.709,73.300
0.517,72.680,93.346,70.249,34.933,75.323,79.949,79.478,73.635
0.443,72.243,93.282,71.018,34.941,75.034,80.272,79.663,73.209
0.461,71.698,93.873,70.115,34.979,75.668,79.772,79.977,73.270
0.509,72.231,93.447,70.751,35.092,75.748,80.378,80.117,73.070
0.336,72.096,93.742,70.600,34.789,75.442,79.953,79.213,73.732
0.412,72.062,92.613,70.214,35.535,75.526,79.757,79.274,73.751
0.406,72.009,94.007,70.516,35.165,75.112,80.073,79.444,73.603
0.394,71.483,93.969,70.855,35.313,75.208,79.566,79.989,73.253
0.454,71.890,93.641,70.443,35.247,75.191,80.031,78.964,73.344
0.487,72.325,93.011,70.747,35.434,75.910,80.038,79.059,73.321
0.341,71.842,93.976,70.164,35.381,75.629,79.605,79.384,73.488
0.448,71.979,94.206,70.828,35.571,75.452,79.899,79.055,73.024
0.480,72.592,93.956,70.677,35.015,75.146,78.812,79.123,72.942
0.406,71.827,94.346,71.064,35.093,75.196,80.965,79.075,74.156
0.478,72.202,93.650,70.438,35.219,75.489,79.697,80.015,72.950
0.487,72.030,93.440,70.293,35.573,76.029,80.256,78.460,73.191
0.428,71.693,93.035,70.436,35.541,75.840,79.970,79.633,72.991
0.287,72.341,93.987,70.785,35.845,75.443,79.805,78.915,72.848
0.442,71.851,93.127,70.342,35.636,75.139,80.517,79.828,73.639
0.292,72.039,93.544,70.473,35.031,75.135,80.128,79.561,73.916
0.446,71.870,93.162,70.250,35.382,75.216,80.371,79.416,73.481
0.435,71.786,93.284,69.935,35.009,75.114,80.048,79.432,73.072
0.311,71.988,93.007,70.742,35.208,75.094,80.462,79.706,73.021
0.516,72.070,93.505,69.327,35.711,75.250,78.798,79.136,73.793
0.416,71.324,93.525,70.581,35.358,76.013,79.893,79.730,73.467
0.407,71.932,94.059,70.817,35.365,75.420,79.638,79.847,72.864
0.405,72.558,94.352,71.179,35.058,75.085,79.405,79.957,73.043
0.422,71.712,93.343,70.054,35.350,75.675,79.668,79.444,73.580
0.392,72.248,93.483,70.586,34.833,75.190,80.169,79.654,73.568
0.460,72.071,94.591,71.004,35.402,75.529,79.622,79.737,73.870
0.402,71.864,93.950,70.941,35.449,75.654,80.348,79.268,74.018
0.420,72.128,94.012,70.645,35.099,74.951,79.812,78.780,73.463
0.438,71.901,94.038,70.777,35.308,75.695,80.422,79.904,73.190
0.367,72.121,93.259,70.007,34.960,75.412,80.033,79.456,73.495
0.416,72.010,94.085,69.965,35.390,75.339,80.011,79.599,73.316
0.411,72.547,93.289,69.971,35.464,75.872,79.664,78.726,73.556
0.403,71.546,94.256,70.333,35.869,74.928,79.869,79.926,72.893
0.385,71.990,93.533,70.137,35.028,75.669,79.400,79.333,73.204
0.399,72.092,93.075,70.576,35.049,74.906,79.521,79.194,73.452
0.349,72.075,93.209,70.797,34.937,74.870,79.775,79.520,73.756
0.436,72.218,93.320,70.055,34.899,75.600,79.989,79.550,72.803
0.445,72.334,93.527,70.448,35.275,76.051,79.664,79.172,74.042
0.447,72.466,93.661,70.836,35.427,75.200,78.944,79.514,73.768
0.349,72.548,94.332,70.748,35.128,75.385,79.199,79.114,73.242
0.471,71.318,93.028,70.354,35.299,75.108,79.813,79.763,73.096
0.391,72.054,93.488,70.442,34.789,75.617,80.717,79.173,73.140
0.393,71.662,93.699,69.631,35.660,75.769,79.543,79.858,74.231
0.418,72.343,93.282,70.971,35.117,74.861,79.984,78.907,73.481
0.424,71.773,93.374,70.468,35.046,75.470,80.136,79.083,72.823
0.384,72.256,93.722,70.533,35.108,75.768,79.832,79.834,73.068
0.441,72.181,93.634,69.884,35.295,74.378,79.245,80.324,73.575
0.437,72.706,94.250,70.523,35.589,75.672,79.992,79.823,72.804
0.385,71.960,93.945,70.415,35.406,75.221,79.799,79.445,72.981
0.393,72.000,93.543,70.054,35.354,75.697,80.161,79.493,73.091
0.420,72.180,93.406,70.568,35.409,75.225,80.341,79.417,73.598
0.397,71.731,94.246,71.042,35.362,75.052,80.431,79.477,73.812
0.426,72.112,93.731,71.044,35.327,75.573,79.390,79.823,73.314
0.444,71.790,93.957,70.609,35.643,75.494,79.975,80.627,73.412
0.408,71.398,94.341,70.528,35.201,75.304,79.402,79.691,73.101
0.442,72.425,93.707,70.200,35.352,75.177,78.973,79.530,74.210
0.347,72.703,93.795,70.590,35.346,75.243,79.590,79.137,73.503
0.343,72.252,93.528,71.167,35.767,75.952,79.290,79.636,73.316
0.314,71.791,94.418,70.164,35.318,75.879,80.437,79.786,73.560
0.399,71.678,94.397,70.804,35.320,75.458,79.830,79.711,73.369
0.294,72.223,94.094,70.518,35.206,75.569,79.662,79.225,73.757
0.548,72.196,94.411,70.271,35.245,75.718,79.862,79.678,73.585
0.398,72.252,94.309,70.197,35.370,75.654,79.939,79.418,72.661
0.379,72.630,93.568,70.531,35.167,74.916,79.735,79.588,73.384
0.306,72.078,93.712,70.491,35.342,75.242,79.874,78.915,73.495
0.395,72.249,93.753,70.275,35.049,75.084,79.669,79.085,73.640
